task_id,problem_number,window_size,chunk_id,num_chunks,start,stop,cut_count,stride,max_bond,cutoff
0,35,1,0,3,0,1024,1024,1,128,0.0001
1,35,1,1,3,1024,2048,1024,1,128,0.0001
2,35,1,2,3,2048,2949,901,1,128,0.0001
3,35,2,0,3,0,1024,1024,1,128,0.0001
4,35,2,1,3,1024,2048,1024,1,128,0.0001
5,35,2,2,3,2048,2947,899,1,128,0.0001
6,35,3,0,3,0,1024,1024,1,128,0.0001
7,35,3,1,3,1024,2048,1024,1,128,0.0001
8,35,3,2,3,2048,2945,897,1,128,0.0001
9,35,4,0,3,0,1024,1024,1,128,0.0001
10,35,4,1,3,1024,2048,1024,1,128,0.0001
11,35,4,2,3,2048,2943,895,1,128,0.0001
12,35,5,0,3,0,1024,1024,1,128,0.0001
13,35,5,1,3,1024,2048,1024,1,128,0.0001
14,35,5,2,3,2048,2941,893,1,128,0.0001
15,35,6,0,3,0,1024,1024,1,128,0.0001
16,35,6,1,3,1024,2048,1024,1,128,0.0001
17,35,6,2,3,2048,2939,891,1,128,0.0001
18,35,7,0,3,0,1024,1024,1,128,0.0001
19,35,7,1,3,1024,2048,1024,1,128,0.0001
20,35,7,2,3,2048,2937,889,1,128,0.0001
21,35,8,0,3,0,1024,1024,1,128,0.0001
22,35,8,1,3,1024,2048,1024,1,128,0.0001
23,35,8,2,3,2048,2935,887,1,128,0.0001
24,35,9,0,3,0,1024,1024,1,128,0.0001
25,35,9,1,3,1024,2048,1024,1,128,0.0001
26,35,9,2,3,2048,2933,885,1,128,0.0001
27,35,10,0,3,0,1024,1024,1,128,0.0001
28,35,10,1,3,1024,2048,1024,1,128,0.0001
29,35,10,2,3,2048,2931,883,1,128,0.0001
30,35,11,0,3,0,1024,1024,1,128,0.0001
31,35,11,1,3,1024,2048,1024,1,128,0.0001
32,35,11,2,3,2048,2929,881,1,128,0.0001
33,35,12,0,3,0,1024,1024,1,128,0.0001
34,35,12,1,3,1024,2048,1024,1,128,0.0001
35,35,12,2,3,2048,2927,879,1,128,0.0001
36,35,13,0,3,0,1024,1024,1,128,0.0001
37,35,13,1,3,1024,2048,1024,1,128,0.0001
38,35,13,2,3,2048,2925,877,1,128,0.0001
39,35,14,0,3,0,1024,1024,1,128,0.0001
40,35,14,1,3,1024,2048,1024,1,128,0.0001
41,35,14,2,3,2048,2923,875,1,128,0.0001
42,35,15,0,3,0,1024,1024,1,128,0.0001
43,35,15,1,3,1024,2048,1024,1,128,0.0001
44,35,15,2,3,2048,2921,873,1,128,0.0001
45,35,20,0,3,0,1024,1024,1,128,0.0001
46,35,20,1,3,1024,2048,1024,1,128,0.0001
47,35,20,2,3,2048,2911,863,1,128,0.0001
48,35,25,0,3,0,1024,1024,1,128,0.0001
49,35,25,1,3,1024,2048,1024,1,128,0.0001
50,35,25,2,3,2048,2901,853,1,128,0.0001
51,35,30,0,3,0,1024,1024,1,128,0.0001
52,35,30,1,3,1024,2048,1024,1,128,0.0001
53,35,30,2,3,2048,2891,843,1,128,0.0001
54,35,35,0,3,0,1024,1024,1,128,0.0001
55,35,35,1,3,1024,2048,1024,1,128,0.0001
56,35,35,2,3,2048,2881,833,1,128,0.0001
57,35,40,0,3,0,1024,1024,1,128,0.0001
58,35,40,1,3,1024,2048,1024,1,128,0.0001
59,35,40,2,3,2048,2871,823,1,128,0.0001
60,35,45,0,3,0,1024,1024,1,128,0.0001
61,35,45,1,3,1024,2048,1024,1,128,0.0001
62,35,45,2,3,2048,2861,813,1,128,0.0001
63,35,50,0,3,0,1024,1024,1,128,0.0001
64,35,50,1,3,1024,2048,1024,1,128,0.0001
65,35,50,2,3,2048,2851,803,1,128,0.0001
66,35,55,0,3,0,1024,1024,1,128,0.0001
67,35,55,1,3,1024,2048,1024,1,128,0.0001
68,35,55,2,3,2048,2841,793,1,128,0.0001
69,35,60,0,3,0,1024,1024,1,128,0.0001
70,35,60,1,3,1024,2048,1024,1,128,0.0001
71,35,60,2,3,2048,2831,783,1,128,0.0001
72,35,65,0,3,0,1024,1024,1,128,0.0001
73,35,65,1,3,1024,2048,1024,1,128,0.0001
74,35,65,2,3,2048,2821,773,1,128,0.0001
75,35,70,0,3,0,1024,1024,1,128,0.0001
76,35,70,1,3,1024,2048,1024,1,128,0.0001
77,35,70,2,3,2048,2811,763,1,128,0.0001
78,35,80,0,3,0,1024,1024,1,128,0.0001
79,35,80,1,3,1024,2048,1024,1,128,0.0001
80,35,80,2,3,2048,2791,743,1,128,0.0001
81,35,100,0,3,0,1024,1024,1,128,0.0001
82,35,100,1,3,1024,2048,1024,1,128,0.0001
83,35,100,2,3,2048,2751,703,1,128,0.0001
